N,W,Tiempo
1,50,0.000291168
2,50,0.000542466
3,50,0.00151436
4,50,0.0013834
5,50,0.00165045
6,50,0.00409927
7,50,0.00919572
8,50,0.0212706
9,50,0.0438155
10,50,0.0904502
11,50,0.183782
12,50,0.382469
13,50,0.732434
14,50,1.5072
15,50,2.7671
16,50,5.92996
17,50,12.095
18,50,22.743
19,50,48.5545
20,50,96.8326
21,50,192.438
22,50,346.562
23,50,731.852
24,50,1617.86
25,50,3178.48
26,50,6233.18
27,50,11771.7
28,50,24807.8
29,50,49446.8
1,100,5.2584e-05
2,100,0.000105448
3,100,0.000292176
4,100,0.000800168
5,100,0.0017907
6,100,0.00503592
7,100,0.0127895
8,100,0.0291554
9,100,0.0644559
10,100,0.136722
11,100,0.279702
12,100,0.590438
13,100,1.22711
14,100,2.47923
15,100,4.99054
16,100,10.1163
17,100,20.4816
18,100,41.907
19,100,85.3782
20,100,163.503
21,100,319.386
22,100,688.254
23,100,1308.2
24,100,2618.57
25,100,5113.53
26,100,10813.1
27,100,21033.8
28,100,43649.3
29,100,84081.4
1,150,0.000285328
2,150,0.000569118
3,150,0.00150298
4,150,0.000842388
5,150,0.00180991
6,150,0.00517657
7,150,0.0132401
8,150,0.0317688
9,150,0.0710068
10,150,0.15779
11,150,0.337794
12,150,0.718451
13,150,1.48168
14,150,3.06953
15,150,6.1786
16,150,12.7292
17,150,26.906
18,150,53.1958
19,150,110.439
20,150,223.518
21,150,446.313
22,150,867.369
23,150,1777.66
24,150,3781.24
25,150,7320.59
26,150,14648.4
27,150,29206.3
28,150,57591.2
29,150,118311
1,200,0.000301446
2,200,0.000533446
3,200,0.00155002
4,200,0.0015064
5,200,0.00176547
6,200,0.00519619
7,200,0.0131492
8,200,0.0315183
9,200,0.0708889
10,200,0.161068
11,200,0.354176
12,200,0.756225
13,200,1.55617
14,200,3.28843
15,200,6.80333
16,200,14.1815
17,200,30.495
18,200,61.4882
19,200,126.307
20,200,258.691
21,200,527.303
22,200,1044.48
23,200,2144.6
24,200,4488.34
25,200,8831.39
26,200,18004
27,200,35611.3
28,200,70854
29,200,144451
