Algo,N,W,Tiempo
BT,1,10000,0.000186317
BT,2,10000,0.000338694
BT,3,10000,0.000571394
BT,4,10000,0.00106583
BT,5,10000,0.00193855
BT,6,10000,0.00378691
BT,7,10000,0.00784824
BT,8,10000,0.0153893
BT,9,10000,0.0303183
BT,10,10000,0.0590737
BT,11,10000,0.102367
BT,12,10000,0.2393
BT,13,10000,0.699525
BT,14,10000,0.923165
BT,15,10000,1.8749
BT,16,10000,4.125
BT,17,10000,8.19375
BT,18,10000,17.1551
BT,19,10000,32.5316
BT,20,10000,59.4253
BT,21,10000,120.101
BT,22,10000,229.413
BT,23,10000,454.264
BT,24,10000,957.326
BT,25,10000,1846.39
BT,26,10000,3517.39
BT,27,10000,7293.92
BT,28,10000,15766
BT,29,10000,31857.4
BT,30,10000,67771.1
