Algo,N,W,Tiempo
FB,1,1000,0.000191759
FB,2,1000,0.000527441
FB,3,1000,0.00116554
FB,4,1000,0.00254841
FB,5,1000,0.00664135
FB,6,1000,0.0189102
FB,7,1000,0.0445563
FB,8,1000,0.0914763
FB,9,1000,0.208001
FB,10,1000,0.445676
FB,11,1000,0.911853
FB,12,1000,2.32449
FB,13,1000,4.68159
FB,14,1000,13.8152
FB,15,1000,24.5273
FB,16,1000,56.5074
FB,17,1000,108.362
FB,18,1000,213.75
FB,19,1000,437.05
FB,20,1000,905.128
FB,21,1000,1887.7
FB,22,1000,3934.16
FB,23,1000,7951.19
FB,24,1000,16443.4
FB,25,1000,34880.9
FB,26,1000,71929.9
FB,27,1000,155908
FB,28,1000,330290
