Algo,N,W,Tiempo
PD,1,150,0.0194846
PD,2,150,0.0263405
PD,3,150,0.0469142
PD,4,150,0.0723647
PD,5,150,0.066552
PD,6,150,0.088564
PD,7,150,0.13623
PD,8,150,0.134802
PD,9,150,0.154379
PD,10,150,0.174583
PD,11,150,0.201558
PD,12,150,0.326059
PD,13,150,0.255725
PD,14,150,0.270897
PD,15,150,0.421194
PD,16,150,0.475871
PD,17,150,0.388304
PD,18,150,0.543024
PD,19,150,0.518785
PD,20,150,0.672584
PD,21,150,0.497286
PD,22,150,0.496574
PD,23,150,0.530365
PD,24,150,0.566124
PD,25,150,0.583126
PD,26,150,0.618191
PD,27,150,0.64975
PD,28,150,0.675141
PD,29,150,0.732147
PD,30,150,0.732546
