Algo,N,W,Tiempo
MitM,1,50,8.72405e-05
MitM,2,50,0.00295057
MitM,3,50,0.00404576
MitM,4,50,0.00532551
MitM,5,50,0.00688114
MitM,6,50,0.0120979
MitM,7,50,0.0152942
MitM,8,50,0.0148677
MitM,9,50,0.0191107
MitM,10,50,0.0199408
MitM,11,50,0.0273637
MitM,12,50,0.0293703
MitM,13,50,0.0455784
MitM,14,50,0.0556866
MitM,15,50,0.0754576
MitM,16,50,0.0983266
MitM,17,50,0.141721
MitM,18,50,0.169207
MitM,19,50,0.235742
MitM,20,50,0.422668
MitM,21,50,0.455589
MitM,22,50,0.518401
MitM,23,50,0.775201
MitM,24,50,1.07568
MitM,25,50,1.46886
MitM,26,50,1.81626
MitM,27,50,2.78026
MitM,28,50,3.86077
MitM,29,50,5.34676
MitM,30,50,7.96573
