Algo,N,W,Tiempo
FB,1,10000,0.000578508
MitM,1,10000,0.000105363
BT,1,10000,0.000186317
PD,1,10000,0.524671
FB,2,10000,0.000666919
MitM,2,10000,0.00500057
BT,2,10000,0.000338694
PD,2,10000,1.16706
FB,3,10000,0.00138943
MitM,3,10000,0.00702395
BT,3,10000,0.000571394
PD,3,10000,1.52471
FB,4,10000,0.00393851
MitM,4,10000,0.00604846
BT,4,10000,0.00106583
PD,4,10000,2.01647
FB,5,10000,0.00698675
MitM,5,10000,0.00942002
BT,5,10000,0.00193855
PD,5,10000,2.44627
FB,6,10000,0.016426
MitM,6,10000,0.00852222
BT,6,10000,0.00378691
PD,6,10000,2.94717
FB,7,10000,0.0397269
MitM,7,10000,0.0139977
BT,7,10000,0.00784824
PD,7,10000,3.43009
FB,8,10000,0.0876465
MitM,8,10000,0.0164317
BT,8,10000,0.0153893
PD,8,10000,3.90508
FB,9,10000,0.198489
MitM,9,10000,0.032906
BT,9,10000,0.0303183
PD,9,10000,4.39613
FB,10,10000,0.443744
MitM,10,10000,0.0373666
BT,10,10000,0.0590737
PD,10,10000,4.95976
FB,11,10000,1.05014
MitM,11,10000,0.069347
BT,11,10000,0.102367
PD,11,10000,5.98427
FB,12,10000,2.10311
MitM,12,10000,0.0765343
BT,12,10000,0.2393
PD,12,10000,6.3903
FB,13,10000,6.43184
MitM,13,10000,0.140986
BT,13,10000,0.699525
PD,13,10000,8.43425
FB,14,10000,10.6591
MitM,14,10000,0.15521
BT,14,10000,0.923165
PD,14,10000,7.5515
FB,15,10000,24.474
MitM,15,10000,0.310454
BT,15,10000,1.8749
PD,15,10000,8.61457

MitM,16,10000,0.351449
BT,16,10000,4.125
PD,16,10000,10.6513

MitM,17,10000,0.790809
BT,17,10000,8.19375
PD,17,10000,9.90894

MitM,18,10000,0.869666
BT,18,10000,17.1551
PD,18,10000,9.75863

MitM,19,10000,1.52064
BT,19,10000,32.5316
PD,19,10000,10.9512

MitM,20,10000,1.56257
BT,20,10000,59.4253
PD,20,10000,10.1888

MitM,21,10000,3.05386
BT,21,10000,120.101
PD,21,10000,10.6945

MitM,22,10000,3.30363
BT,22,10000,229.413
PD,22,10000,10.9677

MitM,23,10000,6.51189
BT,23,10000,454.264
PD,23,10000,11.7084

MitM,24,10000,7.17698
BT,24,10000,957.326
PD,24,10000,12.1272

MitM,25,10000,13.6354
BT,25,10000,1846.39
PD,25,10000,12.6766

MitM,26,10000,15.0933
BT,26,10000,3517.39
PD,26,10000,13.2995

MitM,27,10000,29.9409
BT,27,10000,7293.92
PD,27,10000,15.1071

MitM,28,10000,33.2336
BT,28,10000,15766
PD,28,10000,15.1147
MitM,29,10000,64.7598
BT,29,10000,31857.4
PD,29,10000,15.6183
MitM,30,10000,76.0959
BT,30,10000,67771.1
PD,30,10000,17.2378
