Algo,N,W,Tiempo
BT,1,50,0.000961154
BT,2,50,0.000268812
BT,3,50,0.000443171
BT,4,50,0.00100406
BT,5,50,0.00134366
BT,6,50,0.0035678
BT,7,50,0.00300924
BT,8,50,0.00591927
BT,9,50,0.00774134
BT,10,50,0.0104653
BT,11,50,0.00957628
BT,12,50,0.0161168
BT,13,50,0.0227139
BT,14,50,0.0294759
BT,15,50,0.035814
BT,16,50,0.0478241
BT,17,50,0.0497914
BT,18,50,0.0866417
BT,19,50,0.126078
BT,20,50,0.200376
BT,21,50,0.211475
BT,22,50,0.162729
BT,23,50,0.259383
BT,24,50,0.431734
BT,25,50,0.411799
BT,26,50,0.621288
BT,27,50,0.5109
BT,28,50,1.21656
BT,29,50,0.689792
BT,30,50,1.86087
FB,1,50,0.000985435
FB,2,50,0.000380127
FB,3,50,0.000954669
FB,4,50,0.00265628
FB,5,50,0.00558327
FB,6,50,0.0177495
FB,7,50,0.034778
FB,8,50,0.0803449
FB,9,50,0.138328
FB,10,50,0.262513
FB,11,50,0.433909
FB,12,50,0.893618
FB,13,50,2.07691
FB,14,50,4.07613
FB,15,50,8.40537
FB,16,50,19.4568
FB,17,50,34.4382
FB,18,50,80.1761
FB,19,50,148.698
FB,20,50,294.772
FB,21,50,539.863
FB,22,50,1058.27
FB,23,50,1951.75
FB,24,50,4196.22
FB,25,50,7943.86
FB,26,50,15843.6
FB,27,50,32753.9
FB,28,50,65542.4
PD,1,50,0.00954198
PD,2,50,0.0182984
PD,3,50,0.0205369
PD,4,50,0.0332332
PD,5,50,0.0385876
PD,6,50,0.062424
PD,7,50,0.0659734
PD,8,50,0.087157
PD,9,50,0.0834646
PD,10,50,0.0873452
PD,11,50,0.0811209
PD,12,50,0.0942331
PD,13,50,0.102143
PD,14,50,0.110286
PD,15,50,0.225035
PD,16,50,0.144107
PD,17,50,0.144062
PD,18,50,0.164151
PD,19,50,0.177001
PD,20,50,0.184889
PD,21,50,0.190992
PD,22,50,0.193859
PD,23,50,0.217649
PD,24,50,0.215955
PD,25,50,0.229228
PD,26,50,0.2379
PD,27,50,0.252538
PD,28,50,0.350877
PD,29,50,0.263369
PD,30,50,0.295264
MitM,1,50,8.72405e-05
MitM,2,50,0.00295057
MitM,3,50,0.00404576
MitM,4,50,0.00532551
MitM,5,50,0.00688114
MitM,6,50,0.0120979
MitM,7,50,0.0152942
MitM,8,50,0.0148677
MitM,9,50,0.0191107
MitM,10,50,0.0199408
MitM,11,50,0.0273637
MitM,12,50,0.0293703
MitM,13,50,0.0455784
MitM,14,50,0.0556866
MitM,15,50,0.0754576
MitM,16,50,0.0983266
MitM,17,50,0.141721
MitM,18,50,0.169207
MitM,19,50,0.235742
MitM,20,50,0.422668
MitM,21,50,0.455589
MitM,22,50,0.518401
MitM,23,50,0.775201
MitM,24,50,1.07568
MitM,25,50,1.46886
MitM,26,50,1.81626
MitM,27,50,2.78026
MitM,28,50,3.86077
MitM,29,50,5.34676
MitM,30,50,7.96573
