N,Tiempo
1,8.51055e-05
2,0.000989644
3,0.00162588
4,0.00168067
5,0.0026421
6,0.00287814
7,0.004485
8,0.0048612
9,0.00842567
10,0.00934887
11,0.0173287
12,0.0194622
13,0.0367947
14,0.0427325
15,0.0822982
16,0.09873
17,0.181678
18,0.211594
19,0.394192
20,0.456687
21,0.848369
22,0.991974
23,1.81251
24,2.07546
25,3.81584
26,4.41243
27,8.1896
28,9.34103
29,17.2575
30,19.5961
31,35.8922
32,41.1423
33,75.1645
34,85.8163
35,156.175
36,177.124
37,327.292
38,368.647
39,681.853
40,783.81
41,1450.56
42,1620.27
43,2976.46
44,3361.22
45,6189.62
46,6923.54
47,12651.6
48,14226.4
49,26187.2
50,29539.9
