N,W,Tiempo
1,20,0.00208726
2,20,0.00383891
3,20,0.00588926
4,20,0.0075195
5,20,0.00972817
6,20,0.0111811
7,20,0.0128654
8,20,0.0145835
9,20,0.0169747
10,20,0.0188621
11,20,0.020794
16,20,0.0291711
21,20,0.0392104
26,20,0.0475229
31,20,0.0558002
36,20,0.0671121
41,20,0.0757315
46,20,0.0841262
51,20,0.0933793
56,20,0.100978
61,20,0.10955
66,20,0.123411
71,20,0.131211
76,20,0.140063
81,20,0.148368
86,20,0.157093
91,20,0.165568
96,20,0.173729
101,20,0.182586
106,20,0.190819
111,20,0.198804
116,20,0.208412
121,20,0.215927
126,20,0.225057
131,20,0.243745
136,20,0.251913
141,20,0.260179
146,20,0.269011
151,20,0.277016
156,20,0.285748
161,20,0.29414
166,20,0.302582
171,20,0.311174
176,20,0.318647
181,20,0.328065
186,20,0.337391
191,20,0.344746
196,20,0.352409
201,20,0.361038
206,20,0.371753
211,20,0.393365
216,20,0.391551
221,20,0.395047
226,20,0.396287
231,20,0.406207
236,20,0.423135
241,20,0.427466
246,20,0.44232
251,20,0.444982
256,20,0.452367
261,20,0.473264
266,20,0.485629
271,20,0.513534
276,20,0.514327
281,20,0.522311
286,20,0.528681
291,20,0.533619
296,20,0.53818
301,20,0.541924
306,20,0.571281
311,20,0.587799
316,20,0.585523
321,20,0.582919
326,20,0.593629
331,20,0.595236
336,20,0.601626
341,20,0.613862
346,20,0.627651
351,20,0.636327
356,20,0.653218
361,20,0.664246
366,20,0.672683
371,20,0.681685
376,20,0.677863
381,20,0.689956
386,20,0.719288
391,20,0.706168
396,20,0.71088
401,20,0.71295
406,20,0.722753
411,20,0.735764
416,20,0.74101
421,20,0.738423
426,20,0.749325
431,20,0.769405
436,20,0.771682
441,20,0.777076
446,20,0.776994
451,20,0.793795
456,20,0.793327
461,20,0.815091
466,20,0.82681
471,20,0.834983
476,20,0.843072
481,20,0.851447
486,20,0.8534
491,20,0.869653
496,20,0.866003
1,40,0.00237472
2,40,0.00480386
3,40,0.00721552
4,40,0.00931092
5,40,0.012156
6,40,0.0143417
7,40,0.0165754
8,40,0.0187456
9,40,0.0217111
10,40,0.0236949
11,40,0.0257389
16,40,0.0366641
21,40,0.0489634
26,40,0.0592423
31,40,0.0698345
36,40,0.0835478
41,40,0.0954155
46,40,0.104928
51,40,0.115499
56,40,0.126912
61,40,0.138271
66,40,0.152774
71,40,0.16487
76,40,0.174706
